product_id,raw_text
P0001,"Heidelberg Materials Portland Max, C30/37, 25kg, declaration EPD202400001, sku CEM-1001, optimized for high durability and fast installation"
P0002,Premium Mix Plus | manufacturer Heidelberg Materials | product code CEM-1002 | EPD202400002 | C25/30 | 25kg | suitable for commercial and residential construction
P0003,Rapid Set Eco by Holcim / cement / CEM I 42.5N / 25kg / CEM-1003 / environmental declaration EPD202400003 / intended for interior and exterior use depending on project specification
P0004,EPD202400004 Buzzi Unicem Rapid Set Standard C30/37 25kg optimized for high durability and fast installation code CEM-1004
P0005,Low Carbon Pro | manufacturer CEMEX | product code CEM-1005 | EPD202400005 | CEM II/A-L 32.5R | 40kg | suitable for commercial and residential construction
P0006,EPD202400006 Buzzi Unicem Portland Ultra C30/37 40kg suitable for commercial and residential construction code CEM-1006
P0007,Portland Standard by Titan Cement / cement / CEM I 42.5N / 40kg / CEM-1007 / environmental declaration EPD202400007 / intended for interior and exterior use depending on project specification
P0008,"CEMEX Premium Mix Pro, CEM I 42.5N, 25kg, declaration EPD202400008, sku CEM-1008, intended for interior and exterior use depending on project specification"
P0009,EPD202400009 CEMEX Portland Pro CEM I 42.5N 40kg designed for low embodied carbon projects code CEM-1009
P0010,Product: Rapid Set Ultra; Maker: CEMEX; Specs: C30/37; 25kg; ID: EPD202400010; Ref: CEM-1010; intended for interior and exterior use depending on project specification
P0011,EPD202400011 Heidelberg Materials Premium Mix Max CEM II/A-L 32.5R 25kg optimized for high durability and fast installation code CEM-1011
P0012,"Buzzi Unicem Low Carbon Max, CEM II/A-L 32.5R, 40kg, declaration EPD202400012, sku CEM-1012, suitable for commercial and residential construction"
P0013,Low Carbon Standard by Heidelberg Materials / cement / C30/37 / 25kg / CEM-1013 / environmental declaration EPD202400013 / optimized for high durability and fast installation
P0014,EPD202400014 CEMEX Rapid Set Max C25/30 40kg intended for interior and exterior use depending on project specification code CEM-1014
P0015,Low Carbon Pro by Holcim / cement / CEM II/A-L 32.5R / 40kg / CEM-1015 / environmental declaration EPD202400015 / intended for interior and exterior use depending on project specification
P0016,Premium Mix Standard by Buzzi Unicem / cement / C30/37 / 25kg / CEM-1016 / environmental declaration EPD202400016 / optimized for high durability and fast installation
P0017,"Buzzi Unicem Portland Plus, CEM I 42.5N, 25kg, declaration EPD202400017, sku CEM-1017, intended for interior and exterior use depending on project specification"
